scene_id,satellite,sensor,longitude,latitude,capture_date,product_id,image_count,object_count,positive_images,tile_x_min,tile_x_max,tile_y_min,tile_y_max,black_ratio_mean,brightness_mean,sharpness_mean,objects_per_image,positive_image_ratio
GF6_WFV_E131.2_N35.8_20200910_L1A1120034678-2,GF6,WFV,131.2,35.8,2020-09-10,L1A1120034678-2,113,74,55,0,23440,0,15872,0.0,79.3896283175038,8.697970608635899,0.6548672566371682,0.48672566371681414
GF6_WFV_E131.2_N35.8_20200910_L1A1120034678-3,GF6,WFV,131.2,35.8,2020-09-10,L1A1120034678-3,44,65,30,0,5632,2048,17285,0.0,66.81797608462247,11.697206145013213,1.4772727272727273,0.6818181818181818
GF6_WFV_E131.4_N22.4_20200419_L1A1119988588-1,GF6,WFV,131.4,22.4,2020-04-19,L1A1119988588-1,4,1,1,4096,5120,2048,2560,0.0,38.57670783996582,2.1618546104255074,0.25,0.25
GF6_WFV_E131.4_N22.4_20200419_L1A1119988588-2,GF6,WFV,131.4,22.4,2020-04-19,L1A1119988588-2,4,1,1,16384,17408,15360,15872,0.0,101.99703693389893,35.67796953460129,0.25,0.25
GF6_WFV_E131.4_N22.4_20200419_L1A1119988588-3,GF6,WFV,131.4,22.4,2020-04-19,L1A1119988588-3,4,1,1,6144,7680,16384,16896,0.0,58.71767711639404,16.171447393913695,0.25,0.25
GF6_WFV_E131.4_N22.4_20200530_L1A1120002374-1,GF6,WFV,131.4,22.4,2020-05-30,L1A1120002374-1,8,2,2,6144,9728,5120,16896,0.0,43.137961864471436,4.200566403715129,0.25,0.25
GF6_WFV_E131.4_N22.4_20200530_L1A1120002374-2,GF6,WFV,131.4,22.4,2020-05-30,L1A1120002374-2,8,2,2,8192,22016,0,16896,0.0,96.67811298370361,90.40401374900466,0.25,0.25
GF6_WFV_E131.4_N22.4_20200530_L1A1120002374-3,GF6,WFV,131.4,22.4,2020-05-30,L1A1120002374-3,4,1,1,8704,9728,15360,15872,0.0,15.677362442016602,0.8708934607202536,0.25,0.25
GF6_WFV_E131.4_N24.7_20190412_L1A1119866992-3,GF6,WFV,131.4,24.7,2019-04-12,L1A1119866992-3,3,1,1,10752,11776,15360,15360,0.0,39.06079228719076,6.363001478952356,0.3333333333333333,0.3333333333333333
GF6_WFV_E131.4_N24.7_20190523_L1A1119882277-1,GF6,WFV,131.4,24.7,2019-05-23,L1A1119882277-1,18,14,10,0,9728,0,14848,0.00021701388888888888,51.565960778130425,35.021696802490624,0.7777777777777778,0.5555555555555556
GF6_WFV_E131.4_N24.7_20190523_L1A1119882277-2,GF6,WFV,131.4,24.7,2019-05-23,L1A1119882277-2,4,1,1,18432,19968,12288,12800,0.0,81.57163619995117,18.862119610497757,0.25,0.25
GF6_WFV_E131.4_N24.7_20190523_L1A1119882277-3,GF6,WFV,131.4,24.7,2019-05-23,L1A1119882277-3,4,1,1,0,1536,13312,13824,0.0,98.39054203033447,60.69452123106748,0.25,0.25
GF6_WFV_E131.6_N24.7_20191111_L1A1119942463-1,GF6,WFV,131.6,24.7,2019-11-11,L1A1119942463-1,11,3,3,6144,13440,1024,15872,0.0,36.53415818647905,9.12753279998618,0.2727272727272727,0.2727272727272727
GF6_WFV_E131.6_N24.7_20191111_L1A1119942463-2,GF6,WFV,131.6,24.7,2019-11-11,L1A1119942463-2,15,5,5,16384,23440,6144,17289,0.0,25.035895538330077,4.2421233311732065,0.3333333333333333,0.3333333333333333
GF6_WFV_E131.6_N24.7_20191111_L1A1119942463-3,GF6,WFV,131.6,24.7,2019-11-11,L1A1119942463-3,8,3,3,8192,11793,5120,11776,0.0,23.62320613861084,4.965794035970248,0.375,0.375
GF6_WFV_E131.6_N24.9_20190302_L1A1119852281-1,GF6,WFV,131.6,24.9,2019-03-02,L1A1119852281-1,31,14,10,0,7680,0,15872,0.0008820564516129032,41.78684702227193,8.502642198980714,0.45161290322580644,0.3225806451612903
GF6_WFV_E131.6_N24.9_20190302_L1A1119852281-2,GF6,WFV,131.6,24.9,2019-03-02,L1A1119852281-2,31,10,10,0,22928,0,14848,0.0,33.10296347833449,4.244588706218036,0.3225806451612903,0.3225806451612903
GF6_WFV_E131.6_N24.9_20190302_L1A1119852281-3,GF6,WFV,131.6,24.9,2019-03-02,L1A1119852281-3,4,1,1,4096,5120,8192,8704,0.0,73.90342426300049,32.61511707876707,0.25,0.25
GF6_WFV_E131.8_N31.4_20200918_L1A1120036753-2,GF6,WFV,131.8,31.4,2020-09-18,L1A1120036753-2,55,17,15,2048,23440,0,17285,0.0,87.79732707630504,10.774633303463501,0.3090909090909091,0.2727272727272727
GF6_WFV_E131.8_N31.4_20200918_L1A1120036753-3,GF6,WFV,131.8,31.4,2020-09-18,L1A1120036753-3,7,2,2,8704,9728,5120,14848,0.0,63.610521044049946,15.677994350249978,0.2857142857142857,0.2857142857142857
GF6_WFV_E131.8_N38.0_20200910_L1A1120034675-1,GF6,WFV,131.8,38.0,2020-09-10,L1A1120034675-1,38,61,24,0,13440,7168,17285,0.00034623397024054274,87.42323835272538,45.26678977408607,1.605263157894737,0.631578947368421
GF6_WFV_E131.8_N38.0_20200910_L1A1120034675-2,GF6,WFV,131.8,38.0,2020-09-10,L1A1120034675-2,104,67,48,0,23440,2048,17285,0.0,72.23461000735944,8.315710018857107,0.6442307692307693,0.46153846153846156
GF6_WFV_E131.8_N38.0_20200910_L1A1120034675-3,GF6,WFV,131.8,38.0,2020-09-10,L1A1120034675-3,24,7,7,0,12305,0,9728,0.0003255208333333333,46.91896756490072,3.6883706656068775,0.2916666666666667,0.2916666666666667
GF6_WFV_E131.9_N22.4_20190604_L1A1119887740-1,GF6,WFV,131.9,22.4,2019-06-04,L1A1119887740-1,7,3,3,2048,5632,0,10752,0.0,30.946222032819474,5.622324974710604,0.42857142857142855,0.42857142857142855
GF6_WFV_E131.9_N22.4_20190604_L1A1119887740-2,GF6,WFV,131.9,22.4,2019-06-04,L1A1119887740-2,16,5,5,2560,23440,2048,11264,0.0,64.15696668624878,14.562907200591326,0.3125,0.3125
GF6_WFV_E131.9_N22.4_20190604_L1A1119887740-3,GF6,WFV,131.9,22.4,2019-06-04,L1A1119887740-3,5,2,2,3072,9728,4096,9728,0.0,78.56248245239257,28.530947791811194,0.4,0.4
GF6_WFV_E131.9_N26.9_20190523_L1A1119882283-1,GF6,WFV,131.9,26.9,2019-05-23,L1A1119882283-1,52,29,24,0,9728,0,17289,0.00048828125,40.600291618934044,16.323999319987845,0.5576923076923077,0.46153846153846156
GF6_WFV_E131.9_N26.9_20190523_L1A1119882283-2,GF6,WFV,131.9,26.9,2019-05-23,L1A1119882283-2,22,6,6,0,15872,0,13824,0.0,49.280879107388586,8.539672835660564,0.2727272727272727,0.2727272727272727
GF6_WFV_E131.9_N26.9_20190523_L1A1119882283-3,GF6,WFV,131.9,26.9,2019-05-23,L1A1119882283-3,2,1,1,2560,3072,2048,2560,0.0,72.61584091186523,11.966935934695357,0.5,0.5
GF6_WFV_E132.0_N24.7_20200530_L1A1120002373-1,GF6,WFV,132.0,24.7,2020-05-30,L1A1120002373-1,3,1,1,11904,12928,8192,8704,0.0,69.8188591003418,6.546505255726515,0.3333333333333333,0.3333333333333333
GF6_WFV_E132.0_N24.7_20200530_L1A1120002373-2,GF6,WFV,132.0,24.7,2020-05-30,L1A1120002373-2,9,3,3,8192,20992,7168,16896,0.0,96.18094635009766,20.6592660895953,0.3333333333333333,0.3333333333333333
GF6_WFV_E132.0_N26.9_20190302_L1A1119852268-1,GF6,WFV,132.0,26.9,2019-03-02,L1A1119852268-1,30,18,11,0,7680,12288,17289,0.000390625,44.94704920450847,8.145758290638817,0.6,0.36666666666666664
GF6_WFV_E132.0_N26.9_20190302_L1A1119852268-2,GF6,WFV,132.0,26.9,2019-03-02,L1A1119852268-2,7,2,2,12288,13824,2048,14848,0.0,44.393733978271484,5.628844731142245,0.2857142857142857,0.2857142857142857
GF6_WFV_E132.0_N26.9_20190302_L1A1119852268-3,GF6,WFV,132.0,26.9,2019-03-02,L1A1119852268-3,2,1,1,3584,3584,1024,1536,0.0,44.1434211730957,10.794070990174077,0.5,0.5
GF6_WFV_E132.0_N26.9_20190703_L1A1119896315-1,GF6,WFV,132.0,26.9,2019-07-03,L1A1119896315-1,14,5,4,2560,11904,3072,16896,0.0,51.91621943882534,2.759379268084428,0.35714285714285715,0.2857142857142857
GF6_WFV_E132.0_N26.9_20190703_L1A1119896315-2,GF6,WFV,132.0,26.9,2019-07-03,L1A1119896315-2,11,3,3,2048,22016,0,18489,0.0,111.78371325406161,13.318954004331978,0.2727272727272727,0.2727272727272727
GF6_WFV_E132.0_N26.9_20190703_L1A1119896315-3,GF6,WFV,132.0,26.9,2019-07-03,L1A1119896315-3,20,6,6,0,12305,4096,17920,0.000519561767578125,84.39793281555175,9.897146125156723,0.3,0.3
GF6_WFV_E132.4_N24.7_20190604_L1A1119887742-1,GF6,WFV,132.4,24.7,2019-06-04,L1A1119887742-1,11,4,4,4096,12928,4096,17373,0.0,32.42665342851119,6.819397069919929,0.36363636363636365,0.36363636363636365
GF6_WFV_E132.4_N24.7_20190604_L1A1119887742-2,GF6,WFV,132.4,24.7,2019-06-04,L1A1119887742-2,14,6,6,512,22016,1024,9728,0.0,52.08597019740513,26.043786083633936,0.42857142857142855,0.42857142857142855
GF6_WFV_E132.4_N24.7_20190604_L1A1119887742-3,GF6,WFV,132.4,24.7,2019-06-04,L1A1119887742-3,4,1,1,5120,5632,1024,1536,0.0,90.99955463409424,33.28874694922342,0.25,0.25
GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-1,GF6,WFV,132.4,35.8,2020-09-14,L1A1120035552-1,204,377,137,6144,13440,0,17285,0.0,35.85616979412004,10.508625785038449,1.8480392156862746,0.6715686274509803
GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-2,GF6,WFV,132.4,35.8,2020-09-14,L1A1120035552-2,46,18,17,0,17920,0,16896,0.0,44.58574278458305,21.93278236459699,0.391304347826087,0.3695652173913043
GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-3,GF6,WFV,132.4,35.8,2020-09-14,L1A1120035552-3,60,108,41,8704,12305,7168,17285,0.0007486979166666667,30.392087682088217,12.065053891211088,1.8,0.6833333333333333
GF6_WFV_E132.5_N26.9_20200530_L1A1120002375-3,GF6,WFV,132.5,26.9,2020-05-30,L1A1120002375-3,6,3,3,1536,8704,2048,14848,0.0,129.46766789754233,11.744348875955135,0.5,0.5
GF6_WFV_E133.0_N29.1_20200419_L1A1119988598-2,GF6,WFV,133.0,29.1,2020-04-19,L1A1119988598-2,4,1,1,10240,11776,0,512,0.0,55.07565975189209,43.70993800705037,0.25,0.25
GF6_WFV_E133.0_N29.1_20200419_L1A1119988598-3,GF6,WFV,133.0,29.1,2020-04-19,L1A1119988598-3,17,4,4,2560,12305,6144,17289,0.0009525523466222427,66.78520673864028,10.381430676534793,0.23529411764705882,0.23529411764705882
GF6_WFV_E133.0_N29.1_20200530_L1A1120002372-2,GF6,WFV,133.0,29.1,2020-05-30,L1A1120002372-2,16,4,4,6144,19968,6144,15872,0.0,94.92149996757507,11.90322832039692,0.25,0.25
GF6_WFV_E133.0_N29.1_20200530_L1A1120002372-3,GF6,WFV,133.0,29.1,2020-05-30,L1A1120002372-3,6,1,1,10240,11776,5120,5632,0.0,62.30897776285807,8.801477510620316,0.16666666666666666,0.16666666666666666
GF6_WFV_E133.0_N38.0_20200914_L1A1120035551-1,GF6,WFV,133.0,38.0,2020-09-14,L1A1120035551-1,10,6,6,6144,11776,16777,17289,0.0,29.418367004394533,5.752604185750533,0.6,0.6
GF6_WFV_E133.1_N26.9_20200603_L1A1120004043-1,GF6,WFV,133.1,26.9,2020-06-03,L1A1120004043-1,32,10,10,2048,13440,0,18473,0.0,39.732603907585144,3.3928508998537836,0.3125,0.3125
GF6_WFV_E133.1_N26.9_20200603_L1A1120004043-2,GF6,WFV,133.1,26.9,2020-06-03,L1A1120004043-2,14,5,5,4096,13824,3072,17408,0.0,57.15391404288156,11.15781802739262,0.35714285714285715,0.35714285714285715
GF6_WFV_E133.6_N31.4_20200530_L1A1120002371-3,GF6,WFV,133.6,31.4,2020-05-30,L1A1120002371-3,3,1,1,6144,7680,1024,1536,0.0,74.9238395690918,9.402336076978827,0.3333333333333333,0.3333333333333333
GF6_WFV_E133.6_N33.6_20200305_L1A1119973496-1,GF6,WFV,133.6,33.6,2020-03-05,L1A1119973496-1,114,97,62,0,13440,0,17285,0.0005139802631578947,63.86610017743027,24.439849761661893,0.8508771929824561,0.543859649122807
GF6_WFV_E133.6_N33.6_20200305_L1A1119973496-2,GF6,WFV,133.6,33.6,2020-03-05,L1A1119973496-2,62,47,30,0,23440,512,15872,0.0,57.329812634375784,203.85824682508644,0.7580645161290323,0.4838709677419355
GF6_WFV_E134.3_N40.2_20200918_L1A1120036758-1,GF6,WFV,134.3,40.2,2020-09-18,L1A1120036758-1,26,10,9,6144,13440,6144,17289,0.0,25.615675706129807,1.9619460059016443,0.38461538461538464,0.34615384615384615
GF6_WFV_E135.1_N24.7_20200107_L1A1119957266-1,GF6,WFV,135.1,24.7,2020-01-07,L1A1119957266-1,2,1,1,3072,3584,16384,16896,0.0,79.61100959777832,29.490233167394763,0.5,0.5
GF6_WFV_E135.6_N26.9_20200107_L1A1119957261-1,GF6,WFV,135.6,26.9,2020-01-07,L1A1119957261-1,7,2,2,6144,13440,3072,12800,0.0,64.38068498883929,21.940148927254736,0.2857142857142857,0.2857142857142857
GF6_WFV_E135.6_N26.9_20200107_L1A1119957261-2,GF6,WFV,135.6,26.9,2020-01-07,L1A1119957261-2,11,3,3,2048,5632,7680,10752,0.0,68.36266985806552,48.85739049146518,0.2727272727272727,0.2727272727272727
GF6_WFV_E136.0_N26.9_20200913_L1A1120035638-1,GF6,WFV,136.0,26.9,2020-09-13,L1A1120035638-1,10,3,3,0,11264,8192,16317,0.0005001068115234375,26.329467391967775,2.227913382370025,0.3,0.3
GF6_WFV_E136.0_N26.9_20200913_L1A1120035638-2,GF6,WFV,136.0,26.9,2020-09-13,L1A1120035638-2,10,4,4,6144,15360,3072,16317,0.0,29.303167724609374,6.037093763599114,0.4,0.4
GF6_WFV_E136.6_N24.7_20200521_L1A1119999504-1,GF6,WFV,136.6,24.7,2020-05-21,L1A1119999504-1,2,1,1,0,1024,7168,7168,0.00390625,41.928794860839844,3.9161205170603353,0.5,0.5
GF6_WFV_E136.6_N24.7_20200521_L1A1119999504-2,GF6,WFV,136.6,24.7,2020-05-21,L1A1119999504-2,2,1,1,2048,2560,6144,6656,0.0,66.99190139770508,3.633525689772796,0.5,0.5
GF6_WFV_E136.6_N24.7_20200521_L1A1119999504-3,GF6,WFV,136.6,24.7,2020-05-21,L1A1119999504-3,7,2,2,10752,11793,0,512,0.0,94.5772819519043,76.71440419513758,0.2857142857142857,0.2857142857142857
GF6_WFV_E136.6_N29.1_20200913_L1A1120035632-1,GF6,WFV,136.6,29.1,2020-09-13,L1A1120035632-1,11,3,3,6144,11776,12288,14848,0.0,25.94343428178267,3.1261998036193703,0.2727272727272727,0.2727272727272727
GF6_WFV_E136.6_N29.1_20200913_L1A1120035632-2,GF6,WFV,136.6,29.1,2020-09-13,L1A1120035632-2,27,8,8,0,22928,5120,17285,0.0,40.54737345377604,41.63449709742552,0.2962962962962963,0.2962962962962963
GF6_WFV_E136.6_N29.1_20200913_L1A1120035632-3,GF6,WFV,136.6,29.1,2020-09-13,L1A1120035632-3,2,1,1,1024,1536,2048,2560,0.0,47.1700439453125,17.996797519961547,0.5,0.5
GF6_WFV_E137.2_N26.9_20200521_L1A1119999497-2,GF6,WFV,137.2,26.9,2020-05-21,L1A1119999497-2,3,1,1,20480,21504,6144,6656,0.0,107.01041666666667,10.90710758304825,0.3333333333333333,0.3333333333333333
GF6_WFV_E137.2_N31.4_20200913_L1A1120035633-1,GF6,WFV,137.2,31.4,2020-09-13,L1A1120035633-1,18,7,6,0,11776,1024,8704,0.00013881259494357638,44.49397489759657,8.621763830146746,0.3888888888888889,0.3333333333333333
GF6_WFV_E137.2_N31.4_20200913_L1A1120035633-2,GF6,WFV,137.2,31.4,2020-09-13,L1A1120035633-2,30,9,9,0,21504,2048,15872,0.0,51.5940808614095,17.453109200264347,0.3,0.3
GF6_WFV_E137.7_N29.1_20200521_L1A1119999499-2,GF6,WFV,137.7,29.1,2020-05-21,L1A1119999499-2,13,4,4,4096,22928,0,7680,0.0,106.17913759671725,29.355016839120744,0.3076923076923077,0.3076923076923077
GF6_WFV_E138.3_N31.4_20200521_L1A1119999493-1,GF6,WFV,138.3,31.4,2020-05-21,L1A1119999493-1,26,9,8,2560,11776,0,15872,0.0,57.858386259812576,3.582661757452745,0.34615384615384615,0.3076923076923077
GF6_WFV_E138.3_N31.4_20200521_L1A1119999493-2,GF6,WFV,138.3,31.4,2020-05-21,L1A1119999493-2,20,7,7,2560,19456,1024,17289,0.0,96.43671188354492,101.59623169924672,0.35,0.35
GF6_WFV_E138.3_N31.4_20200521_L1A1119999493-3,GF6,WFV,138.3,31.4,2020-05-21,L1A1119999493-3,9,2,2,4096,9728,10240,15872,0.0,92.1016722785102,6.747056969210259,0.2222222222222222,0.2222222222222222
GF6_WFV_E138.4_N26.9_20200529_L1A1120002143-1,GF6,WFV,138.4,26.9,2020-05-29,L1A1120002143-1,2,1,1,8192,9728,13312,13312,0.0,41.44101524353027,7.151557709483313,0.5,0.5
GF6_WFV_E138.4_N26.9_20200529_L1A1120002143-2,GF6,WFV,138.4,26.9,2020-05-29,L1A1120002143-2,2,1,1,4096,5120,2560,2560,0.0,44.81916046142578,8.71488935603702,0.5,0.5
GF6_WFV_E139.0_N29.1_20200529_L1A1120002145-1,GF6,WFV,139.0,29.1,2020-05-29,L1A1120002145-1,3,1,1,12416,13440,16777,17289,0.0,38.91378402709961,2.617029691900825,0.3333333333333333,0.3333333333333333
GF6_WFV_E139.0_N29.1_20200529_L1A1120002145-2,GF6,WFV,139.0,29.1,2020-05-29,L1A1120002145-2,10,4,4,0,23440,1536,9728,0.0,76.37435150146484,42.38527098343184,0.4,0.4
GF6_WFV_E139.0_N29.1_20200529_L1A1120002145-3,GF6,WFV,139.0,29.1,2020-05-29,L1A1120002145-3,3,1,1,0,1024,5120,5632,0.0,86.87480545043945,23.894933836879016,0.3333333333333333,0.3333333333333333
