image,black_percent,has_ship,ship_count,annotation
GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_14129_4608.png,95.2904,no,0,GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_14129_4608.txt
GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_512_7680.png,97.6048,no,0,GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_512_7680.txt
GF1_WFV3_E112.6_N13.8_20200703_L2A0004902372_15384_7168.png,88.5178,no,0,GF1_WFV3_E112.6_N13.8_20200703_L2A0004902372_15384_7168.txt
GF1_WFV3_E113.4_N17.2_20200703_L2A0004902183_1024_6144.png,62.5473,no,0,GF1_WFV3_E113.4_N17.2_20200703_L2A0004902183_1024_6144.txt
GF1_WFV3_E113.4_N17.2_20200703_L2A0004902183_15870_4608.png,83.6613,no,0,GF1_WFV3_E113.4_N17.2_20200703_L2A0004902183_15870_4608.txt
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_10240_14848.png,55.6786,no,0,GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_10240_14848.txt
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_13312_15201.png,79.9442,no,0,GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_13312_15201.txt
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_14699_9728.png,99.8638,no,0,GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_14699_9728.txt
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_15723_4096.png,61.1671,no,0,GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_15723_4096.txt
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_15723_5120.png,99.4099,no,0,GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_15723_5120.txt
GF1_WFV3_E120.2_N22.2_20200710_L2A0004922264_2560_0.png,81.2416,no,0,GF1_WFV3_E120.2_N22.2_20200710_L2A0004922264_2560_0.txt
GF1_WFV3_E120.2_N22.2_20200710_L2A0004922264_2560_512.png,57.3475,no,0,GF1_WFV3_E120.2_N22.2_20200710_L2A0004922264_2560_512.txt
GF1_WFV3_E120.2_N22.2_20200710_L2A0004922264_4096_0.png,60.9180,yes,1,GF1_WFV3_E120.2_N22.2_20200710_L2A0004922264_4096_0.txt
GF1_WFV3_E120.2_N22.2_20200710_L2A0004922264_8704_14848.png,94.2768,no,0,GF1_WFV3_E120.2_N22.2_20200710_L2A0004922264_8704_14848.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_10240_15148.png,63.8924,no,0,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_10240_15148.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_1024_6656.png,83.1055,no,0,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_1024_6656.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_1024_7168.png,58.1055,no,0,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_1024_7168.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_11776_14848.png,67.4805,no,0,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_11776_14848.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_12288_13312.png,91.9453,yes,1,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_12288_13312.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_12800_11264.png,91.9777,yes,1,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_12800_11264.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_12929_10240.png,67.7151,yes,1,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_12929_10240.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_13312_9216.png,92.0692,no,0,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_13312_9216.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_13824_6656.png,67.8955,no,0,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_13824_6656.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_13824_7168.png,92.2646,no,0,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_13824_7168.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_14465_4096.png,68.5883,no,0,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_14465_4096.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_6656_14336.png,80.6332,no,0,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_6656_14336.txt
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_7168_14336.png,55.5534,yes,1,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_7168_14336.txt
GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_10240_15134.png,63.6078,yes,1,GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_10240_15134.txt
GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_11776_14848.png,68.1568,no,0,GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_11776_14848.txt
GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_12800_11264.png,93.3281,no,0,GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_12800_11264.txt
GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_13312_9216.png,93.8885,no,0,GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_13312_9216.txt
GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_3072_13312.png,56.4194,yes,1,GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_3072_13312.txt
GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_8192_1024.png,55.2734,yes,1,GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_8192_1024.txt
GF1_WFV4_E109.8_N16.7_20200704_L2A0004904643_1024_12800.png,53.8918,no,0,GF1_WFV4_E109.8_N16.7_20200704_L2A0004904643_1024_12800.txt
GF1_WFV4_E109.8_N16.7_20200704_L2A0004904643_9216_14848.png,77.1027,no,0,GF1_WFV4_E109.8_N16.7_20200704_L2A0004904643_9216_14848.txt
GF1_WFV4_E109.8_N16.7_20200704_L2A0004904643_9728_14848.png,53.5740,no,0,GF1_WFV4_E109.8_N16.7_20200704_L2A0004904643_9728_14848.txt
GF1_WFV4_E114.1_N21.0_20190806_L2A0004164437_512_8704.png,83.4965,yes,1,GF1_WFV4_E114.1_N21.0_20190806_L2A0004164437_512_8704.txt
GF1_WFV4_E114.4_N21.8_20190806_L2A0004164425_0_11264.png,58.8867,no,0,GF1_WFV4_E114.4_N21.8_20190806_L2A0004164425_0_11264.txt
GF1_WFV4_E114.4_N21.8_20190806_L2A0004164425_1024_12800.png,51.6880,no,0,GF1_WFV4_E114.4_N21.8_20190806_L2A0004164425_1024_12800.txt
GF1_WFV4_E114.4_N21.8_20190806_L2A0004164425_17069_4608.png,60.6445,yes,1,GF1_WFV4_E114.4_N21.8_20190806_L2A0004164425_17069_4608.txt
GF1_WFV4_E124.1_N30.1_20190629_L2A0004085462_14848_16269.png,59.3506,no,0,GF1_WFV4_E124.1_N30.1_20190629_L2A0004085462_14848_16269.txt
GF1_WFV4_E124.5_N36.8_20190805_L2A0004161899_1024_12800.png,51.6632,no,0,GF1_WFV4_E124.5_N36.8_20190805_L2A0004161899_1024_12800.txt
GF1_WFV4_E124.5_N36.8_20190805_L2A0004161899_14848_13312.png,65.5689,no,0,GF1_WFV4_E124.5_N36.8_20190805_L2A0004161899_14848_13312.txt
GF1_WFV4_E124.5_N36.8_20190805_L2A0004161899_15360_11264.png,66.2483,yes,1,GF1_WFV4_E124.5_N36.8_20190805_L2A0004161899_15360_11264.txt
GF1_WFV4_E124.5_N36.8_20190805_L2A0004161899_15360_11776.png,90.8276,yes,1,GF1_WFV4_E124.5_N36.8_20190805_L2A0004161899_15360_11776.txt
GF1_WFV4_E124.5_N36.8_20190805_L2A0004161899_16993_5120.png,87.9665,no,0,GF1_WFV4_E124.5_N36.8_20190805_L2A0004161899_16993_5120.txt
